dist_err,waypoint_idx
0.0668032,203
0.0784161,203
0.0631919,204
0.0572511,204
0.063709,204
0.0787172,204
0.0342717,205
0.0479248,205
0.0216833,206
0.0210283,206
0.0495813,206
0.0130609,207
0.0281252,207
0.0558761,207
0.0198722,208
0.0439222,208
0.00645916,209
0.0263143,209
0.0579627,209
0.0278209,210
0.0432784,210
0.0715639,210
0.0531769,211
0.0606847,211
0.047907,212
0.0527151,212
0.0633295,212
0.0470572,213
0.058361,213
0.075454,213
0.0497192,214
0.0549807,214
0.0769538,214
0.048619,215
0.0717384,215
0.0363443,216
0.0686194,216
0.0381159,217
0.064407,217
0.040854,218
0.0624309,218
0.0453453,219
0.0507044,219
0.0678064,219
0.0441121,220
0.0509482,220
0.0679962,220
0.0518255,221
0.0626784,221
0.0782726,221
0.0565024,222
0.0626403,222
0.0784465,222
0.0988644,222
0.127481,222
0.0975295,225
0.0678058,225
0.0461124,225
0.0387707,225
0.0451346,225
0.0681501,225
0.0409333,226
0.0543948,226
0.0797601,226
0.0380459,227
0.0502657,227
0.0692052,227
0.018151,228
0.034184,228
0.0673579,228
0.0322543,229
0.0470466,229
0.0600594,229
0.0250604,230
0.0453803,230
0.0683151,230
0.0194547,231
0.0477084,231
0.0155365,232
0.0285817,232
0.0515479,232
0.0219154,233
0.0405868,233
0.0196122,234
0.0264871,234
0.0629208,234
0.029278,235
0.0666369,235
0.0236203,236
0.0630044,236
0.03105,237
0.0656613,237
0.0480059,238
0.0709906,238
0.054355,239
0.0769246,239
0.096861,239
0.0687562,240
0.0837741,240
0.0727644,241
0.0808514,241
0.0930283,241
0.0801637,242
0.0825361,242
0.0836621,242
0.084866,242
0.0604456,243
0.0553348,243
0.0606742,243
0.0427566,244
0.0395335,244
0.0479015,244
0.0696174,244
0.0283494,245
0.0444218,245
0.0130762,246
0.0259423,246
0.0580956,246
0.020029,247
0.0412574,247
0.010061,248
0.0342523,248
0.0566045,248
0.0267401,249
0.0591483,250
0.0924254,250
0.0289922,251
0.0222998,251
0.0407087,251
0.0609877,251
0.0831379,251
0.0443563,252
0.0212252,252
0.00995619,252
0.0308595,252
0.0559271,252
0.0933723,252
0.0478535,253
0.0354002,253
0.0501895,253
0.0717458,253
0.0886398,253
0.0405994,254
0.026692,254
0.0347126,254
0.0698946,254
0.0426626,255
0.0178122,255
0.0150502,255
0.0403872,255
0.0724277,255
0.0481269,256
0.0285237,256
0.0247352,256
0.037949,256
0.0642409,256
0.0758166,256
0.0404108,257
0.0180912,257
0.0184845,257
0.0407586,257
0.0647931,257
0.0888113,257
0.0266109,258
0.0259241,258
0.0384037,258
0.0688941,258
0.0915514,258
0.0314007,259
0.0191276,259
0.0453292,259
0.0628217,259
0.0937308,259
0.0130919,260
0.0190788,260
0.0455924,260
0.0741129,260
0.0342572,261
0.0301373,261
0.0389321,261
0.0568171,261
0.0874935,261
0.0301657,262
0.0223544,262
0.0429702,262
0.0635919,262
0.0853904,262
0.0376889,263
0.0326481,263
0.0477927,263
