xte,waypoint_idx
0.0482375,225
0.0441461,225
0.0424075,225
0.0386748,225
0.0377241,225
0.0360056,225
0.0387115,226
0.0417957,226
0.0400199,226
0.0354297,227
0.0336839,227
0.0273105,227
0.0179553,228
0.0224947,228
0.0258186,228
0.0315373,229
0.0329149,229
0.0215168,229
0.024464,230
0.0260405,230
0.0170188,230
0.0121143,231
0.00929002,231
0.0117839,232
0.0172955,232
0.0190795,232
0.0218561,233
0.0149301,233
0.015758,234
0.0146076,234
0.0135424,234
0.0101828,235
0.00443755,235
0.00583195,236
0.0158657,236
0.0279919,237
0.0426269,237
0.04751,238
0.0559584,238
0.054336,239
0.0675162,239
0.0679335,239
0.0678521,240
0.0718784,240
0.0724848,241
0.0793096,241
0.0836767,241
0.080119,242
0.0823012,242
0.0771542,242
0.0663695,242
0.0604456,243
0.0518394,243
0.0445578,243
0.0422245,244
0.0377206,244
0.0331374,244
0.0326915,244
0.0222371,245
0.0173453,245
0.01307,246
0.0120813,246
0.0112632,246
0.0106156,247
0.00903825,247
0.0100592,248
0.00914731,248
0.0214999,248
0.0267399,249
0.0591483,250
0.0146407,250
0.0198428,251
0.0222998,251
0.0288845,251
0.0317907,251
0.0272243,251
0.0224599,252
0.0176814,252
0.00966826,252
0.0070489,252
0.0179988,252
0.0274354,252
0.0378825,253
0.0348142,253
0.0392847,253
0.0349299,253
0.0350396,253
0.0306449,254
0.024249,254
0.00911201,254
0.00297188,254
0.00278957,255
0.00378633,255
0.00643861,255
0.0149383,255
0.0222483,255
0.0188578,256
0.0254522,256
0.0244616,256
0.0274955,256
0.0312303,256
0.0223205,256
0.0151345,257
0.0118661,257
0.0150112,257
0.0192493,257
0.0216552,257
0.0213463,257
0.0169939,258
0.024713,258
0.0201247,258
0.0252968,258
0.0216308,258
0.022204,259
0.0179496,259
0.0142721,259
0.0140452,259
0.0130761,259
0.010012,260
0.00411678,260
0.006041,260
0.0185596,260
0.027099,261
0.0300336,261
0.0291895,261
0.0287167,261
0.027047,261
0.024427,262
0.0222228,262
0.0238937,262
0.0262766,262
0.0295785,262
0.0319696,263
0.0326481,263
0.0350097,263
0.0348553,263
0.0338411,263
0.0306762,264
0.0316393,264
0.0367224,264
0.0393799,264
0.0448979,264
0.0503155,265
0.0510664,265
0.0575164,265
0.060033,265
0.0624544,265
0.0593857,266
0.0618955,266
0.0625169,266
0.0640396,266
0.0627709,267
0.0661545,267
0.0710331,267
0.0762708,267
0.0760754,267
0.0719928,268
0.0718898,268
0.0732843,268
0.0788771,268
0.0826714,268
0.086498,268
0.0846457,269
0.0846879,269
0.0903713,269
0.0982717,269
