x,y,z
-3.15574,-3.5469,-3.15574
-3.14064,-3.53578,-3.14064
-3.12554,-3.52466,-3.12554
-3.11799,-3.50242,-3.11799
-3.09534,-3.4913,-3.09534
-3.08024,-3.48018,-3.08024
-3.05759,-3.46906,-3.05759
-3.04249,-3.44683,-3.04249
-3.01984,-3.43571,-3.01984
-3.00474,-3.41347,-3.00474
-2.97455,-3.40235,-2.97455
-2.9519,-3.39123,-2.9519
-2.9217,-3.38011,-2.9217
-2.89905,-3.36899,-2.89905
-2.8764,-3.35788,-2.8764
-2.85375,-3.35788,-2.85375
-2.82355,-3.34676,-2.82355
-2.8009,-3.34676,-2.8009
-2.77071,-3.33564,-2.77071
-2.75561,-3.33564,-2.75561
-2.72541,-3.33564,-2.72541
-2.71031,-3.32452,-2.71031
-2.68011,-3.32452,-2.68011
-2.66501,-3.32452,-2.66501
-2.64236,-3.32452,-2.64236
-2.61971,-3.32452,-2.61971
-2.58952,-3.32452,-2.58952
-2.58197,-3.32452,-2.58197
-2.55932,-3.32452,-2.55932
-2.54422,-3.33564,-2.54422
-2.52157,-3.34676,-2.52157
-2.50647,-3.35788,-2.50647
-2.48382,-3.36899,-2.48382
-2.46872,-3.39123,-2.46872
-2.45362,-3.41347,-2.45362
-2.43852,-3.42459,-2.43852
-2.41587,-3.44683,-2.41587
-2.40078,-3.45795,-2.40078
-2.38568,-3.48018,-2.38568
-2.37058,-3.4913,-2.37058
-2.36303,-3.51354,-2.36303
-2.35548,-3.52466,-2.35548
-2.34038,-3.5469,-2.34038
-2.33283,-3.56913,-2.33283
-2.31773,-3.60249,-2.31773
-2.31773,-3.62473,-2.31773
-2.31018,-3.64696,-2.31018
-2.31018,-3.6692,-2.31018
-2.31018,-3.69144,-2.31018
-2.31018,-3.7248,-2.31018
-2.31018,-3.74703,-2.31018
-2.30263,-3.76927,-2.30263
-2.29508,-3.79151,-2.29508
-2.29508,-3.82487,-2.29508
-2.29508,-3.8471,-2.29508
-2.30263,-3.88046,-2.30263
-2.31018,-3.9027,-2.31018
-2.32528,-3.92493,-2.32528
-2.33283,-3.94717,-2.33283
-2.34038,-3.96941,-2.34038
-2.35548,-3.99165,-2.35548
-2.37813,-4.01388,-2.37813
-2.39323,-4.025,-2.39323
-2.40833,-4.03612,-2.40833
-2.43097,-4.04724,-2.43097
-2.45362,-4.05836,-2.45362
-2.46872,-4.05836,-2.46872
-2.49137,-4.06948,-2.49137
-2.51402,-4.0806,-2.51402
-2.53667,-4.0806,-2.53667
-2.55177,-4.09172,-2.55177
-2.57442,-4.10284,-2.57442
-2.60461,-4.10284,-2.60461
-2.63481,-4.11395,-2.63481
-2.64991,-4.11395,-2.64991
-2.68011,-4.11395,-2.68011
-2.69521,-4.11395,-2.69521
-2.72541,-4.11395,-2.72541
-2.74806,-4.10284,-2.74806
-2.77071,-4.09172,-2.77071
-2.78581,-4.0806,-2.78581
-2.8009,-4.05836,-2.8009
-2.816,-4.04724,-2.816
-2.8311,-4.03612,-2.8311
-2.83865,-4.01388,-2.83865
-2.85375,-4.00277,-2.85375
-2.85375,-3.99165,-2.85375
-2.8613,-3.96941,-2.8613
-2.8613,-3.95829,-2.8613
-2.86885,-3.93605,-2.86885
-2.8764,-3.91382,-2.8764
-2.8915,-3.89158,-2.8915
-2.9066,-3.86934,-2.9066
-2.91415,-3.8471,-2.91415
-2.92925,-3.82487,-2.92925
-2.9368,-3.80263,-2.9368
-2.94435,-3.78039,-2.94435
-2.9519,-3.74703,-2.9519
-2.9519,-3.7248,-2.9519
-2.9519,-3.70256,-2.9519
